git
golang
tree
bash-completion
neovim
firefox
ffmpeg
suckless-tools
python3
python3-pip
xclip
xdotool
unzip
virtualbox
pass
entr
groff
r-recommended
tmux
pandoc
gimp
vlc
youtube-dl
obs-studio
